,grade,name,socialblade_rank,subscriber_rank,view_rank
0, A++ ,T-Series,1,5,1
1, A++ ,SET India,2,11,5
2, A++ ,5-Minute Crafts,3,8,43
3, A++ ,Zee TV,4,51,22
4, A++ ,VN Children’s Music,5,24214500,3490
5, A++ ,Cocomelon - Nursery Rhymes,7,28,21
6, A++ ,Like Nastya Vlog,9,186,219
7, A++ ,Canal KondZilla,10,7,6
8, A+ ,U2VEVO,13,9356,1620
9, A+ ,Salih Reis'in Dünyası,11,24408648,278
10, A+ ,Movieclips,14,63,9
11, A+ ,Satisfying Slime ASMR,16,3030,3958
12, A+ ,jorgeembon,17,25046,3889
13, A+ ,✿ Kids Diana Show,15,152,239
14, A+ ,netd müzik,18,206,4
15, A+ ,ArianaGrandeVevo,32,82,59
16, A+ ,Google,20,612,653
17, A+ ,Zee Music Company,23,32,29
18, A+ ,Speed Records,24,88,72
19, A+ ,Boram Tube ToysReview [보람튜브…,25,587,836
20, A+ ,سيف SAIIF,27,4193,10310
21, A+ ,Toys and Colors,29,592,324
22, A+ ,Colors TV,28,145,65
23, A+ ,PewDiePie,26,3,8
24, A+ ,one31,31,193,75
25, A+ ,GR6 EXPLODE,35,70,74
26, A+ ,YouTube Spotlight,34,34,1026
27, A+ ,El Reino Infantil,36,99,13
28, A+ ,Sony Music India,38,62,88
29, A+ ,CKN Toys,40,311,76
30, A+ ,Toys And Little Gaby,41,613,884
31, A+ ,SonyMusicIndiaVEVO,42,116,101
32, A+ ,BLACKPINK,44,126,290
33, A+ ,T-Series Bhakti Sagar,47,151,158
34, A+ ,All Of Vines,46,7731,7323
35, A ,BillionSurpriseToys - Nursery Rhymes & Songs,51,71,124
36, A ,1theK (원더케이),57,153,40
