,date,max_earnings,min_earnings,name,subscribers,views
0,2018-12-02 ,348700,21800,T-Series,73109515,54645090144
1,2018-12-04 ,373000,23300,T-Series,73721976,54817406795
2,2018-12-06 ,377400,23600,T-Series,74208335,54999469306
3,2018-12-08 ,348300,21800,T-Series,74635865,55177093764
4,2018-12-10 ,314700,19700,T-Series,74989383,55342803201
5,2018-12-12 ,396800,24800,T-Series,75284522,55520621661
6,2018-12-14 ,431500,27000,T-Series,75395083,55739751384
7,2018-12-03,316300,19800,T-Series,73410923,55739751384
8,2018-12-05,350800,21900,T-Series,73982223,55739751384
9,2018-12-07,362200,22600,T-Series,74438170,55739751384
10,2018-12-09,348100,21800,T-Series,74825240,55739751384
11,2018-12-11,314400,19700,T-Series,75127757,55739751384
12,2018-12-13,445000,27800,T-Series,75448639,55739751384
13,2018-12-15,293600,18300,T-Series,75521365 LIVE,55739751384
14,2018-12-02 ,194000,12100,SET India,36819572,25384772850
15,2018-12-04 ,192100,12000,SET India,36955167,25479093022
16,2018-12-06 ,182400,11400,SET India,37085177,25572319102
17,2018-12-08 ,180100,11300,SET India,37213765,25660704808
18,2018-12-10 ,171500,10700,SET India,37342867,25752224663
19,2018-12-12 ,179400,11200,SET India,37457715,25841596266
20,2018-12-14 ,174600,10900,SET India,37447402,25929266478
21,2018-12-03,185100,11600,SET India,36887533,25929266478
22,2018-12-05,190500,11900,SET India,37024079,25929266478
23,2018-12-07,173500,10800,SET India,37148766,25929266478
24,2018-12-09,194600,12200,SET India,37279082,25929266478
25,2018-12-11,178100,11100,SET India,37400143,25929266478
26,2018-12-13,176100,11000,SET India,37512009,25929266478
27,2018-12-15,95500,6000,SET India,37493700 LIVE,25929266478
28,2018-12-02 ,211000,13200,5-Minute Crafts,42569106,10645846806
29,2018-12-04 ,143600,9000,5-Minute Crafts,42957808,10726761997
30,2018-12-06 ,117500,7300,5-Minute Crafts,43267010,10789450063
31,2018-12-08 ,126400,7900,5-Minute Crafts,43541662,10853081627
32,2018-12-10 ,81200,5100,5-Minute Crafts,43757849,10902396279
33,2018-12-12 ,86800,5400,5-Minute Crafts,43928223,10942269841
34,2018-12-14 ,68700,4300,5-Minute Crafts,43910819,10976754057
35,2018-12-03,180100,11300,5-Minute Crafts,42786584,10976754057
