,category,name,subs_last30d_count,views_last30d_count
0,Music,T-Series,5327327  ,0
1,Howto,5-Minute Crafts,3212145 ,708033000
2,Entertainment,VN Children’s Music,0 ,414468000
3,Education,Cocomelon - Nursery Rhymes,3047454 ,1264509000
4,People,Like Nastya Vlog,1831952 ,681978000
5,Entertainment,Salih Reis'in Dünyası,0 ,621600000
6,Music,U2VEVO,-2748 ,307767000
7,Entertainment,✿ Kids Diana Show,1843864 ,599265000
8,Film,jorgeembon,993 ,258639600
9,Music,netd müzik,278552  ,614010000
10,Tech,Google,63909 ,288108300
11,Music,Zee Music Company,1291304 ,501276000
12,People,Boram Tube ToysReview [보람튜브…,1369693 ,384192000
13,People,سيف SAIIF,38919 ,10394670
14,Education,Toys and Colors,717149 ,470538000
15,Entertainment,one31,594809 ,441069000
16,News,YouTube Spotlight,815018 ,248905500
17,Music,El Reino Infantil,597507 ,420153000
18,Music,Sony Music India,1414457 ,402774000
19,Entertainment,CKN Toys,441422 ,387192000
20,Music,SonyMusicIndiaVEVO,1017184 ,378738000
21,People,BLACKPINK,1924014 ,386589000
22,Comedy,All Of Vines,52943 ,174198600
23,Howto,HelloMaphie,1303105 ,307278000
24,Entertainment,LES BOYS TV2,0  ,246575700
25,Music,1theK (원더케이),469300 ,308697000
26,Music,قناة طيور الجنة | toyoraljanahtv,414834 ,292446000
27,,KutKit Kids,571662 ,147272742
28,Entertainment,Shemaroo,533126 ,306198000
29,Music,Maroon5VEVO,-36803 ,300849000
30,Music,RSDivulga - Funk, 7198 ,-6836340
31,Entertainment,NIMAGAP TV,9644 ,-2085810
32,Entertainment,z a m,-3553 ,131229600
33,Entertainment,Indosiar,515625 ,260329800
34,Music,La Granja de Zenón,534250 ,274982100
35,Entertainment,FilmKritikTV,-549 ,127118700
36,Entertainment,Family GamesTV,0 ,266150700
37,Education,Pinkfong! Kids' Songs & Stories,869253 ,253906200
38,Entertainment,Webs & Tiaras - Toy Monster Compilations,244150 ,244123959 
39,Entertainment,SuperToyzCollector,1200468 ,282132300
40,News,Aaj Tak,1001835 ,195273000
41,Howto,Izabela Stress,797902 ,216010800
42,,Boong Family,617259 ,129941996
43,Howto,LY LY ToysReview,0 ,120555600
44,Music,Galinha Pintadinha,388273 ,223045200
45,Music,Bounce Patrol Kids,514085 ,227816700
46,Entertainment,ThaiCh8 : ช่อง 8,422249 ,235815600
47,People,mmoshaya,462390 ,227352900
48,Entertainment,CookieSwirlC,298974 ,219522900
49,People,ABC Kids TV,0 ,208968000
50,Music,Marshmello,1136375 ,0
51,Sports,cricket.com.au,769572 ,158561400
52,,Mr. Tsismoso,11574 ,105385200
53,Music,Wave Music - Bhojpuri,356331 ,227689800
54,Music,EminemVEVO,-72691 ,200565000
55,Comedy,FV FAMILY,513544 ,196229100
56,Film,OYUNCAKOYNUYORUM,490351 ,207393000
57,,SHN MOVIES,0 ,-6818254
58,Film,Goldmines,836442 ,223609500
59,,Funny TV show,470414 ,100607738
60,Film,shfa,422769 ,152866500
61,Film,Nick Jr.,247110 ,197174700
62,Music,GMM GRAMMY OFFICIAL,257267 ,202580100
63,Music,Alan Walker,762842 ,199840500
64,Music,Worldwide Records Bhojpuri,513846 ,220567500
65,Film,Hasbro,64850 ,122164200
66,Entertainment,LEGO,209798 ,184438500
67,People,ABP NEWS,820465 ,149818200
68,Music,ImagineDragonsVEVO,-45877 ,206088900
69,People,Давай поиграем в игрушки,594688 ,164787900
70,Entertainment,RCTI - LAYAR DRAMA INDONESIA,306815 ,178906200
71,Howto,BRIGHT SIDE,1316428 ,196554300
72,Entertainment,ARY Digital,412323 ,187211400
73,Shows,Vijay Television,282294 ,183419700
74,,Muskan jaan,0 ,87684300
75,Entertainment,LetsGoMartin - Nursery Rhymes,581821 ,172477800
76,Games,Laz Oyun Oynay,-3372 ,84352200
77,Entertainment,Mister Max,568042 ,215889300
78,Education,BabyBus - Kids TV - Songs & Stories,276153 ,182246400
79,,Tekashi 6ix9ine,810350 ,182950200
80,Music,ibighit,639951 ,175715400
81,Music,BeckyGVEVO,-23055 ,177609900
82,Entertainment,Fischer's-フィッシャーズ-,86854 ,188364900
83,People,Maria Clara & JP,739103 ,184519500
84,Film,HTV2-Vie Channel,277592 ,137554861
85,Games,rezendeevil,585870 ,173986500
86,People,David Dobrik,422680 ,173021700
87,Education,Little Baby Bum - Nursery Rhymes & Kids Songs,232489 ,169225500
88,News,Raffy Tulfo in Action,300913 ,152044500
89,Howto,Ly LY FamilyShow,312 ,75432300
90,Music,Trap Nation,469525 ,169770600
91,Entertainment,La Rosa de Guadalupe,564324 ,180288300
92,Music,LadyGagaVEVO,-17348 ,173610600
93,Music,ChainsmokersVEVO,-51245 ,168642300
94,People,Zalfa Aulia Channel,53007 ,15342210
95,Music,SebastianYatraVEVO,-6390 ,169227300
96,Entertainment,YoungBoy Never Broke Again,183425 ,168868200
97,Music,Ajay Yuvraj,11829 ,78414761
98,Music,Atlantic Records,130790 ,163349700
99,Games,Hong Giang DIY Slime,737518 ,179186700
100,Music,White Hill Music,645205 ,161087700
101,Games,LazarBeam,654977 ,0
102,Howto,Troom Troom,492587 ,148083300
103,Education,El Reino a Jugar,317741 ,147632100
104,Comedy,JMMB Films,193100 ,101234400
105,Entertainment,Strawberry Jam Toys,398453 ,168090300
106,Comedy,東海オンエア,115290 ,155551200
107,People,ALLinONE,-513 ,69574800
108,Tech,SearchMojo,0 ,50
109,People,Sham Drama شام دراما,0 ,136999500
110,Entertainment,Lyrical Lemonade,424002 ,149768400
111,People,Pavel Igy,0 ,68446800
112,Entertainment,Flowers Comedy,274172 ,159686400
113,Entertainment,Weird Stuff,495017 ,118558200
114,Entertainment,Like Nastya,329088 ,141685200
115,,DLS News,10028598 ,123198600
116,Entertainment,Kid Studio,348184 ,128175900
117,Entertainment,Sun TV,409699 ,91668600
118,Entertainment,Pinoy Big Brother,520057 ,154038600
119,Music,Lil pump,608038 ,165491400
120,Film,BIGFUN,0 ,126385200
121,Entertainment,TRANS7 OFFICIAL,390121 ,136422000
122,Music,KhalidVEVO,-16953 ,152944200
123,Entertainment,OLIE THE CUB,358797 ,139858500
124,Entertainment,Princess Bánh Bao,378086 ,132319800
125,Howto,Flipkart,0 ,113797800
126,Music,Mr. Gengar,219260 ,130908000
127,Music,Daddy Yankee,425557 ,154929900
128,,Crime Patrol Dehati,358331 ,98770500
129,Education,Prachin Rahasya,227243 ,75057000
130,News,The Lallantop,723903 ,119729100
131,,CON HEO DAT TV,0 ,5100600
132,News,Inside Edition,178972 ,156897900
133,,Hola Niño,570700 ,115963200
134,Music,ShawnMendesVEVO,-40267 ,121353900
135,Music,Coldplay,208800 ,134634000
136,Comedy,Jkk Entertainment,437455 ,129549300
137,Music,Ariana Grande`,2037103 ,0
138,,حِرف إبداعية في 5 دقائق,633804 ,142404600
139,People,BuzzFeedVideo,142965 ,133137300
140,Entertainment,Surya Citra Televisi (SCTV),270332 ,109892570
141,Music,JustinBieberVEVO,-95340 ,120581400
142,Entertainment,RedeTV,182045 ,129256800
143,Games,Jelly,362202 ,132790500
144,Travel,Wheel & Dice,93764 ,60194704
145,,Primitive Technology KH,451274 ,116214000
146,Entertainment,HAR PAL GEO,311683 ,-139704140
147,Howto,ToysPlay,190033 ,110311500
148,Games,Lachlan,481944 ,131617200
149,Music,TikTok,1939 ,80514300
150,News,AMARIN TVHD,180210 ,149584200
151,Entertainment,Bizim Hikaye,191401 ,135232800
152,Entertainment,Susi kids TV,154629 ,103678800
153,Shows,Sony PAL,241234 ,113865900
154,Entertainment,Haryanvi Maina,243637 ,134565000
155,Entertainment,StarPlus,401945 ,122042100
156,Games,DanTDM,162638 ,174923700
157,Games,VanossGaming,115918 ,124654800
158,Film,Totoykids,305329 ,129101100
159,Music,CNCOVEVO,-25704 ,137180700
160,Music,Bruno Mars,224718 ,122994000
161,,IDEAS EN 5 MINUTOS,706138 ,114510000
162,Music,capoVEVO,1568 ,98360100
163,Games,Поззи,224477 ,115688700
164,Entertainment,The Late Late Show with James Corden,487112 ,125028000
165,Education,infobells,290661 ,93501000
166,Music,CalvinHarrisVEVO,-30242 ,126096000
167,Music,RomeoSantosVEVO,-17948 ,120642000
168,Games,VEGETTA777,370323 ,114379800
